order_id,order_date,ship_date,ship_mode,customer_id,region_id
US-2019-103338,2019-03-11,2019-03-15,Standard Class,RB-19435,4
CA-2019-114790,2019-03-11,2019-03-13,Second Class,FM-14215,3
CA-2019-166884,2019-03-11,2019-03-16,Second Class,CK-12205,2
CA-2019-158337,2019-03-11,2019-03-14,Second Class,KA-16525,2
US-2019-125521,2019-03-14,2019-03-19,Standard Class,CK-12325,3
CA-2019-157623,2019-03-14,2019-03-18,Standard Class,DK-13225,4
CA-2019-100293,2019-03-14,2019-03-18,Standard Class,NF-18475,3
CA-2019-114510,2019-03-14,2019-03-19,Standard Class,JF-15295,4
CA-2019-152618,2019-03-14,2019-03-17,First Class,RB-19465,1
CA-2019-149958,2019-03-15,2019-03-19,Standard Class,AS-10240,3
CA-2019-157609,2019-03-16,2019-03-21,Second Class,KN-16705,3
US-2019-164763,2019-03-17,2019-03-21,Standard Class,MH-17440,3
CA-2019-127859,2019-03-17,2019-03-20,Second Class,QJ-19255,2
US-2019-148838,2019-03-17,2019-03-21,Standard Class,CP-12340,2
CA-2019-118339,2019-03-17,2019-03-24,Standard Class,BN-11515,1
CA-2019-158442,2019-03-17,2019-03-17,Same Day,AZ-10750,1
CA-2019-145317,2019-03-18,2019-03-23,Standard Class,SM-20320,3
US-2019-131275,2019-03-18,2019-03-24,Standard Class,SC-20050,4
CA-2019-111871,2019-03-18,2019-03-21,Second Class,EK-13795,4
CA-2019-103989,2019-03-19,2019-03-21,First Class,MC-17605,3
CA-2019-163223,2019-03-21,2019-03-25,Standard Class,KH-16690,3
US-2019-155544,2019-03-21,2019-03-25,Standard Class,GM-14440,3
CA-2019-140004,2019-03-21,2019-03-25,Standard Class,CB-12025,2
US-2019-107405,2019-03-21,2019-03-25,Standard Class,TS-21205,3
CA-2019-148040,2019-03-22,2019-03-26,Standard Class,BF-11275,4
US-2019-158057,2019-03-22,2019-03-26,Standard Class,CC-12685,3
US-2019-129609,2019-03-22,2019-03-22,Same Day,VM-21835,1
CA-2019-164749,2019-03-23,2019-03-26,First Class,BG-11740,3
CA-2019-120838,2019-03-23,2019-03-26,Second Class,PO-18865,4
CA-2019-143637,2019-03-24,2019-03-29,Second Class,MS-17710,4
CA-2019-147235,2019-03-24,2019-03-28,Standard Class,CD-11920,2
CA-2019-148586,2019-03-25,2019-04-01,Standard Class,AZ-10750,2
CA-2019-128237,2019-03-25,2019-03-30,Standard Class,CA-12265,4
CA-2019-100860,2019-03-26,2019-03-30,Second Class,CS-12505,4
CA-2019-138436,2019-03-26,2019-03-30,Standard Class,JD-15895,4
CA-2019-141838,2019-03-26,2019-03-31,Second Class,DK-12835,4
US-2019-137869,2019-03-28,2019-04-02,Standard Class,CV-12295,1
CA-2019-100881,2019-03-28,2019-04-01,Standard Class,DR-12940,4
US-2019-117380,2019-03-28,2019-04-03,Standard Class,MP-18175,2
CA-2019-137274,2019-03-29,2019-04-02,Standard Class,MG-18145,1
CA-2019-162089,2019-03-30,2019-04-01,First Class,MP-17470,1
US-2019-113124,2019-03-30,2019-04-05,Standard Class,NC-18340,1
CA-2019-133424,2019-03-30,2019-04-04,Standard Class,Dl-13600,4
US-2019-105151,2019-03-30,2019-03-31,First Class,SG-20890,2
CA-2019-169033,2019-03-30,2019-04-03,Standard Class,KM-16720,2
CA-2019-131247,2019-03-30,2019-04-04,Standard Class,GA-14725,4
CA-2019-130428,2019-03-31,2019-03-31,Same Day,TG-21640,3
CA-2019-101770,2019-03-31,2019-04-04,Standard Class,KB-16240,3
US-2019-104759,2019-03-31,2019-04-04,Standard Class,DD-13570,1
CA-2019-112403,2019-03-31,2019-03-31,Same Day,JO-15280,2
CA-2019-128055,2019-03-31,2019-04-05,Standard Class,AA-10315,4
US-2019-157021,2019-04-01,2019-04-06,Second Class,KM-16720,4
CA-2019-138359,2019-04-01,2019-04-06,Standard Class,KH-16330,2
CA-2019-160276,2019-04-02,2019-04-08,Standard Class,AH-10690,3
CA-2019-164315,2019-04-02,2019-04-08,Standard Class,RD-19585,3
US-2019-157847,2019-04-02,2019-04-06,Second Class,SC-20020,1
CA-2019-112291,2019-04-03,2019-04-08,Standard Class,KE-16420,4
CA-2019-149538,2019-04-04,2019-04-08,Standard Class,KB-16585,3
CA-2019-133228,2019-04-04,2019-04-09,Standard Class,MS-17710,1
US-2019-128685,2019-04-04,2019-04-05,First Class,MZ-17515,4
CA-2019-105172,2019-04-04,2019-04-09,Standard Class,PK-18910,4
CA-2019-151001,2019-04-05,2019-04-07,First Class,JG-15805,1
US-2019-157231,2019-04-05,2019-04-09,Standard Class,RP-19855,3
CA-2019-102988,2019-04-05,2019-04-09,Second Class,GM-14695,3
CA-2019-149104,2019-04-05,2019-04-07,Second Class,RD-19900,1
CA-2019-113887,2019-04-05,2019-04-07,First Class,TH-21550,2
CA-2019-153808,2019-04-06,2019-04-10,Second Class,FH-14275,4
CA-2019-169803,2019-04-06,2019-04-12,Standard Class,SC-20260,4
US-2019-118486,2019-04-06,2019-04-08,First Class,SD-20485,2
CA-2019-136742,2019-04-06,2019-04-10,Standard Class,GP-14740,2
CA-2019-102652,2019-04-06,2019-04-12,Standard Class,AY-10555,4
CA-2019-124023,2019-04-07,2019-04-10,First Class,PJ-19015,3
CA-2019-165806,2019-04-07,2019-04-07,Same Day,VM-21685,3
CA-2019-128846,2019-04-07,2019-04-12,Standard Class,RS-19765,3
CA-2019-100363,2019-04-08,2019-04-15,Standard Class,JM-15655,4
CA-2019-121769,2019-04-08,2019-04-12,Standard Class,JS-15880,2
US-2019-163797,2019-04-08,2019-04-13,Standard Class,PC-19000,4
CA-2019-150581,2019-04-08,2019-04-12,Standard Class,NM-18445,4
US-2019-118997,2019-04-08,2019-04-12,Standard Class,RA-19885,3
US-2019-102715,2019-04-11,2019-04-13,Second Class,JK-15370,3
CA-2019-110555,2019-04-11,2019-04-18,Standard Class,MM-18055,4
CA-2019-138940,2019-04-11,2019-04-16,Second Class,GM-14455,1
US-2019-121734,2019-04-11,2019-04-16,Standard Class,SE-20110,4
CA-2019-154599,2019-04-12,2019-04-17,Standard Class,KN-16450,4
CA-2019-142979,2019-04-12,2019-04-18,Standard Class,EH-13765,4
US-2019-158365,2019-04-12,2019-04-17,Standard Class,SV-20785,1
CA-2019-167724,2019-04-13,2019-04-18,Standard Class,BF-11170,2
CA-2019-122336,2019-04-13,2019-04-17,Second Class,JD-15895,2
US-2019-120740,2019-04-15,2019-04-15,Same Day,PS-18970,4
CA-2019-155208,2019-04-16,2019-04-20,Standard Class,SP-20650,3
CA-2019-100678,2019-04-18,2019-04-22,Standard Class,KM-16720,1
CA-2019-110849,2019-04-18,2019-04-23,Standard Class,JL-15835,4
CA-2019-169460,2019-04-19,2019-04-21,Second Class,NF-18595,4
CA-2019-158470,2019-04-19,2019-04-23,Second Class,AG-10390,3
CA-2019-134572,2019-04-20,2019-04-22,Second Class,SV-20365,1
CA-2019-101462,2019-04-20,2019-04-25,Standard Class,BP-11230,4
CA-2019-136336,2019-04-21,2019-04-26,Standard Class,DB-13555,3
CA-2019-158064,2019-04-21,2019-04-25,Standard Class,AA-10375,4
CA-2019-122070,2019-04-22,2019-04-24,Second Class,AH-10030,2
CA-2019-111857,2019-04-23,2019-04-26,Second Class,NM-18445,4
US-2019-112564,2019-04-23,2019-04-24,First Class,TS-21160,2
US-2019-150119,2019-04-23,2019-04-27,Standard Class,LB-16795,2
US-2019-157406,2019-04-25,2019-04-29,Standard Class,DA-13450,1
CA-2019-166954,2019-04-25,2019-04-30,Standard Class,BT-11305,4
CA-2019-110100,2019-04-25,2019-04-29,Standard Class,LC-16885,3
CA-2019-116785,2019-04-26,2019-04-30,Standard Class,MH-17290,4
CA-2019-147298,2019-04-26,2019-05-03,Standard Class,AG-10300,4
CA-2019-140228,2019-04-28,2019-05-03,Standard Class,GB-14530,2
CA-2019-132983,2019-04-28,2019-05-03,Standard Class,DS-13180,2
CA-2019-118976,2019-04-28,2019-05-03,Standard Class,MY-18295,2
CA-2019-131387,2019-04-28,2019-04-30,First Class,AI-10855,4
CA-2019-107811,2019-04-29,2019-05-03,Standard Class,LA-16780,3
CA-2019-118304,2019-04-29,2019-05-04,Standard Class,KH-16360,2
CA-2019-134061,2019-04-29,2019-05-04,Standard Class,LL-16840,2
CA-2019-142727,2019-04-29,2019-05-01,Second Class,HG-14845,3
CA-2019-156006,2019-04-30,2019-05-02,Second Class,TM-21010,3
CA-2019-160094,2019-04-30,2019-05-02,First Class,JM-16195,3
CA-2019-115056,2019-05-02,2019-05-02,Same Day,AR-10510,2
CA-2019-124618,2019-05-02,2019-05-04,Second Class,CS-11860,3
CA-2019-130274,2019-05-03,2019-05-05,First Class,JS-15940,1
CA-2019-135755,2019-05-03,2019-05-10,Standard Class,NC-18415,2
CA-2019-155271,2019-05-04,2019-05-04,Same Day,AA-10480,2
CA-2019-111899,2019-05-04,2019-05-05,First Class,NC-18340,1
US-2019-148194,2019-05-04,2019-05-07,First Class,BS-11365,4
CA-2019-117709,2019-05-04,2019-05-08,Standard Class,PM-18940,1
CA-2019-111934,2019-05-05,2019-05-07,First Class,GD-14590,3
CA-2019-160738,2019-05-05,2019-05-10,Standard Class,KH-16330,1
CA-2019-110219,2019-05-05,2019-05-08,First Class,EB-13870,1
CA-2019-166457,2019-05-05,2019-05-09,Second Class,PF-19120,3
US-2019-154879,2019-05-06,2019-05-11,Standard Class,SN-20710,4
CA-2019-121664,2019-05-06,2019-05-10,Standard Class,HP-14815,4
CA-2019-166086,2019-05-07,2019-05-12,Standard Class,CT-11995,2
CA-2019-116666,2019-05-08,2019-05-10,First Class,KT-16480,2
CA-2019-158771,2019-05-09,2019-05-09,Same Day,SB-20290,3
US-2019-102071,2019-05-09,2019-05-15,Standard Class,PG-18820,4
CA-2019-159709,2019-05-10,2019-05-15,Standard Class,AI-10855,4
CA-2019-103310,2019-05-10,2019-05-15,Standard Class,GM-14680,4
CA-2019-114181,2019-05-10,2019-05-14,Second Class,AF-10885,2
CA-2019-152100,2019-05-11,2019-05-16,Standard Class,VW-21775,1
CA-2019-139017,2019-05-11,2019-05-17,Standard Class,RM-19375,1
CA-2019-127523,2019-05-11,2019-05-18,Standard Class,BG-11695,2
CA-2019-119172,2019-05-11,2019-05-15,Standard Class,HD-14785,1
CA-2019-103849,2019-05-11,2019-05-16,Standard Class,PG-18895,1
CA-2019-155887,2019-05-12,2019-05-17,Standard Class,KT-16480,2
CA-2019-127159,2019-05-12,2019-05-15,First Class,HL-15040,1
CA-2019-113768,2019-05-13,2019-05-19,Standard Class,AH-10030,4
CA-2019-140165,2019-05-13,2019-05-15,First Class,EH-14005,3
CA-2019-167164,2019-05-13,2019-05-15,Second Class,AG-10270,4
CA-2019-114433,2019-05-13,2019-05-17,Standard Class,NP-18325,4
CA-2019-106810,2019-05-14,2019-05-20,Standard Class,AJ-10795,3
US-2019-163146,2019-05-16,2019-05-20,Standard Class,CC-12475,4
CA-2019-125150,2019-05-16,2019-05-23,Standard Class,PW-19030,4
CA-2019-148761,2019-05-17,2019-05-21,Standard Class,PA-19060,1
CA-2019-133963,2019-05-18,2019-05-22,Second Class,GA-14515,1
CA-2019-164224,2019-05-18,2019-05-20,Second Class,TT-21070,2
CA-2019-103373,2019-05-18,2019-05-24,Standard Class,BS-11755,2
CA-2019-130155,2019-05-19,2019-05-22,First Class,TD-20995,3
US-2019-107699,2019-05-19,2019-05-23,Standard Class,JH-15820,1
US-2019-114188,2019-05-20,2019-05-22,Second Class,RF-19345,2
CA-2019-130673,2019-05-20,2019-05-22,Second Class,MC-17590,1
CA-2019-127166,2019-05-21,2019-05-23,Second Class,KH-16360,1
CA-2019-104780,2019-05-21,2019-05-25,Standard Class,BT-11530,4
CA-2019-117639,2019-05-21,2019-05-25,Standard Class,MW-18235,3
CA-2019-152443,2019-05-21,2019-05-26,Standard Class,FG-14260,2
CA-2019-143840,2019-05-22,2019-05-29,Standard Class,EH-14185,3
US-2019-135881,2019-05-23,2019-05-27,Standard Class,GT-14710,2
US-2019-105767,2019-05-23,2019-05-27,Standard Class,AR-10510,2
CA-2019-138513,2019-05-23,2019-05-27,Standard Class,EH-13990,4
CA-2019-143413,2019-05-24,2019-05-30,Standard Class,RP-19390,2
US-2019-130379,2019-05-25,2019-05-29,Standard Class,JL-15235,1
CA-2019-100391,2019-05-25,2019-05-29,Standard Class,BW-11065,2
CA-2019-144029,2019-05-26,2019-05-31,Standard Class,MM-18055,1
CA-2019-158029,2019-05-26,2019-05-30,Standard Class,HF-14995,4
CA-2019-156349,2019-05-26,2019-05-30,Standard Class,ML-17395,4
CA-2019-129574,2019-05-26,2019-05-29,First Class,Dp-13240,4
CA-2019-124429,2019-05-27,2019-05-27,Same Day,MH-17785,4
CA-2019-139192,2019-05-27,2019-06-01,Second Class,LC-16885,4
US-2019-117058,2019-05-27,2019-05-30,First Class,LE-16810,1
CA-2019-135993,2019-05-28,2019-06-02,Standard Class,PJ-18835,4
CA-2019-108861,2019-05-28,2019-06-01,Standard Class,MM-17260,4
CA-2019-103429,2019-05-30,2019-06-01,First Class,LW-16825,2
CA-2019-146885,2019-05-30,2019-06-05,Standard Class,EB-13840,3
CA-2019-140473,2019-05-30,2019-06-03,Standard Class,MC-17425,1
CA-2019-145800,2019-05-30,2019-06-05,Standard Class,SS-20410,1
CA-2019-105872,2019-05-30,2019-06-06,Standard Class,JG-15160,2
CA-2019-166051,2019-05-31,2019-06-05,Standard Class,JK-15625,3
CA-2019-131926,2019-06-01,2019-06-06,Second Class,DW-13480,1
CA-2019-111003,2019-06-01,2019-06-06,Standard Class,CR-12625,2
US-2019-157070,2019-06-01,2019-06-06,Standard Class,QJ-19255,1
US-2019-165659,2019-06-01,2019-06-06,Standard Class,LT-17110,3
CA-2019-104472,2019-06-02,2019-06-07,Standard Class,CK-12325,4
CA-2019-100895,2019-06-02,2019-06-06,Standard Class,SV-20785,3
CA-2019-163867,2019-06-03,2019-06-06,First Class,RE-19450,1
CA-2019-135657,2019-06-03,2019-06-07,Second Class,SC-20725,4
CA-2019-141299,2019-06-03,2019-06-07,Second Class,RB-19795,1
CA-2019-147914,2019-06-04,2019-06-09,Standard Class,MP-17470,2
CA-2019-151946,2019-06-04,2019-06-09,Standard Class,BT-11440,2
CA-2019-169257,2019-06-06,2019-06-12,Standard Class,SV-20785,3
US-2019-161305,2019-06-06,2019-06-12,Standard Class,SB-20170,1
CA-2019-159520,2019-06-06,2019-06-11,Standard Class,GT-14635,2
CA-2019-151897,2019-06-06,2019-06-10,Standard Class,VT-21700,1
CA-2019-133270,2019-06-06,2019-06-09,First Class,BM-11785,2
CA-2019-106229,2019-06-07,2019-06-11,Second Class,NR-18550,1
US-2019-134971,2019-06-07,2019-06-10,Second Class,BP-11095,1
US-2019-109162,2019-06-08,2019-06-12,Standard Class,KE-16420,3
CA-2019-108147,2019-06-08,2019-06-13,Standard Class,RD-19480,2
US-2019-141257,2019-06-08,2019-06-14,Standard Class,CS-11950,4
CA-2019-115812,2019-06-09,2019-06-14,Standard Class,BH-11710,4
CA-2019-133753,2019-06-09,2019-06-13,Second Class,CW-11905,1
CA-2019-160262,2019-06-09,2019-06-13,Second Class,TS-21205,4
CA-2019-133851,2019-06-09,2019-06-16,Standard Class,CM-12445,4
CA-2019-132612,2019-06-09,2019-06-11,Second Class,FO-14305,3
CA-2019-144281,2019-06-10,2019-06-15,Second Class,HK-14890,1
CA-2019-114643,2019-06-13,2019-06-17,Standard Class,FM-14215,4
CA-2019-140487,2019-06-14,2019-06-20,Standard Class,SR-20425,1
CA-2019-126963,2019-06-15,2019-06-15,Same Day,PS-18760,1
US-2019-141215,2019-06-15,2019-06-21,Standard Class,KL-16555,1
CA-2019-113929,2019-06-16,2019-06-21,Standard Class,CK-12205,2
CA-2019-136644,2019-06-16,2019-06-22,Standard Class,SC-20575,1
CA-2019-156342,2019-06-17,2019-06-20,Second Class,JF-15415,1
CA-2019-144414,2019-06-17,2019-06-21,Standard Class,GH-14425,4
CA-2019-104402,2019-06-17,2019-06-23,Standard Class,DB-13660,2
CA-2019-123855,2019-06-18,2019-06-23,Standard Class,MC-18100,4
CA-2019-166863,2019-06-20,2019-06-24,Standard Class,SC-20020,1
US-2019-112949,2019-06-20,2019-06-27,Standard Class,Co-12640,1
CA-2019-138317,2019-06-21,2019-06-25,Standard Class,NW-18400,2
US-2019-160780,2019-06-21,2019-06-21,Same Day,SV-20785,4
CA-2019-128146,2019-06-21,2019-06-25,Standard Class,DB-13060,2
CA-2019-141278,2019-06-21,2019-06-24,First Class,RM-19375,2
US-2019-117135,2019-06-21,2019-06-23,Second Class,NP-18325,3
CA-2019-130624,2019-06-21,2019-06-24,First Class,TB-21280,2
CA-2019-141796,2019-06-21,2019-06-21,Same Day,JG-15160,2
CA-2019-133389,2019-06-22,2019-06-22,Same Day,TB-21280,4
CA-2019-124646,2019-06-22,2019-06-24,First Class,DV-13465,1
CA-2019-154963,2019-06-22,2019-06-27,Standard Class,AA-10645,2
CA-2019-142048,2019-06-22,2019-06-25,First Class,JE-15745,4
CA-2019-126032,2019-06-23,2019-06-28,Standard Class,BS-11665,2
US-2019-130358,2019-06-23,2019-06-26,First Class,DL-13330,3
CA-2019-159814,2019-06-24,2019-06-28,Standard Class,LP-17080,4
CA-2019-164469,2019-06-25,2019-06-27,Second Class,GK-14620,4
CA-2019-159338,2019-06-25,2019-06-28,First Class,NS-18640,4
CA-2019-104283,2019-06-27,2019-07-01,Standard Class,LM-17065,3
CA-2019-156993,2019-06-28,2019-07-04,Standard Class,RW-19630,1
CA-2019-140858,2019-06-28,2019-07-02,Standard Class,CA-12775,2
CA-2019-111773,2019-06-29,2019-07-03,Standard Class,JK-15625,2
CA-2019-165974,2019-06-29,2019-07-06,Standard Class,DL-12865,2
CA-2019-109218,2019-06-30,2019-07-03,Second Class,AR-10825,4
CA-2019-116757,2019-06-30,2019-07-04,Standard Class,MS-17980,1
CA-2019-152254,2019-06-30,2019-06-30,Same Day,BD-11620,3
US-2019-121566,2019-06-30,2019-07-06,Standard Class,CS-11860,2
CA-2019-123064,2019-06-30,2019-07-02,First Class,RA-19915,1
CA-2019-146640,2019-06-30,2019-07-05,Standard Class,HA-14905,2
CA-2019-160773,2019-07-01,2019-07-05,Standard Class,LW-16825,3
CA-2019-153150,2019-07-01,2019-07-06,Second Class,Dl-13600,4
CA-2019-107594,2019-07-02,2019-07-06,Standard Class,EH-13945,2
CA-2019-120096,2019-07-04,2019-07-07,First Class,KE-16420,4
CA-2019-138709,2019-07-04,2019-07-09,Standard Class,MS-17770,3
CA-2019-152849,2019-07-05,2019-07-12,Standard Class,DW-13195,3
CA-2019-103317,2019-07-05,2019-07-08,First Class,DM-13525,3
CA-2019-157784,2019-07-05,2019-07-08,First Class,MC-17845,3
US-2019-160444,2019-07-05,2019-07-05,Same Day,DC-12850,1
CA-2019-107139,2019-07-05,2019-07-11,Standard Class,DP-13390,4
CA-2019-134278,2019-07-06,2019-07-08,First Class,EP-13915,2
CA-2019-147543,2019-07-06,2019-07-12,Standard Class,BC-11125,4
US-2019-138758,2019-07-07,2019-07-11,Standard Class,JL-15835,2
CA-2019-150301,2019-07-08,2019-07-10,First Class,MH-18025,2
CA-2019-100090,2019-07-08,2019-07-12,Standard Class,EB-13705,4
CA-2019-114125,2019-07-09,2019-07-13,Standard Class,GH-14410,4
CA-2019-165379,2019-07-09,2019-07-15,Standard Class,BM-11650,1
CA-2019-113271,2019-07-09,2019-07-14,Standard Class,DS-13030,4
CA-2019-163552,2019-07-11,2019-07-15,Standard Class,LA-16780,2
CA-2019-123225,2019-07-11,2019-07-14,First Class,MN-17935,1
CA-2019-133305,2019-07-11,2019-07-15,Standard Class,MH-17455,2
CA-2019-166555,2019-07-11,2019-07-14,First Class,JK-15205,2
CA-2019-124807,2019-07-12,2019-07-15,Second Class,ME-17725,1
CA-2019-129924,2019-07-12,2019-07-17,Standard Class,AC-10420,4
CA-2019-161508,2019-07-12,2019-07-16,Standard Class,PV-18985,1
CA-2019-110184,2019-07-12,2019-07-16,Standard Class,BF-11170,4
CA-2019-131310,2019-07-12,2019-07-18,Standard Class,CL-12565,4
US-2019-165862,2019-07-13,2019-07-17,Standard Class,GK-14620,4
CA-2019-164182,2019-07-14,2019-07-18,Standard Class,ST-20530,2
CA-2019-124464,2019-07-14,2019-07-20,Standard Class,SS-20515,2
US-2019-150532,2019-07-14,2019-07-21,Standard Class,PB-19150,4
US-2019-103905,2019-07-14,2019-07-20,Standard Class,AW-10930,1
CA-2019-109904,2019-07-14,2019-07-17,Second Class,BF-10975,2
CA-2019-115980,2019-07-15,2019-07-19,Standard Class,VW-21775,1
CA-2019-123295,2019-07-18,2019-07-18,Same Day,AH-10120,4
CA-2019-138198,2019-07-18,2019-07-23,Standard Class,JL-15130,2
US-2019-150434,2019-07-19,2019-07-24,Standard Class,CA-12310,2
CA-2019-168158,2019-07-19,2019-07-24,Standard Class,EM-14140,4
CA-2019-142965,2019-07-20,2019-07-20,Same Day,SW-20245,2
CA-2019-143903,2019-07-20,2019-07-24,Standard Class,KM-16375,1
CA-2019-141726,2019-07-20,2019-07-22,First Class,CC-12145,4
CA-2019-157546,2019-07-20,2019-07-22,First Class,RD-19720,4
CA-2019-127866,2019-07-20,2019-07-23,First Class,JD-15895,4
CA-2019-129189,2019-07-21,2019-07-25,Standard Class,HM-14860,1
CA-2019-116932,2019-07-21,2019-07-25,Standard Class,ME-18010,4
CA-2019-109890,2019-07-21,2019-07-27,Standard Class,PG-18820,1
CA-2019-117464,2019-07-22,2019-07-24,Second Class,NP-18325,4
CA-2019-127691,2019-07-22,2019-07-27,Standard Class,EM-14065,2
CA-2019-122679,2019-07-22,2019-07-28,Standard Class,AB-10255,4
US-2019-164644,2019-07-22,2019-07-24,Second Class,JL-15850,1
CA-2019-145254,2019-07-23,2019-07-27,Standard Class,NC-18535,4
